id;question;ground_truth;source_book;answer;contexts_count;faithfulness;answer_relevancy;context_precision;context_recall;answer_response_time_seconds;answer_input_tokens;answer_output_tokens;answer_total_tokens
Q001;O que significa 'lógica de programação' em palavras simples?;É o uso correto das leis do pensamento e de processos organizados de raciocínio aplicados à criação de programas de computador, com o objetivo de produzir soluções válidas e coerentes que resolvam adequadamente os problemas propostos.;Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];De acordo com o contexto, a lógica de programação pode ser entendida como uma técnica de se encadear pensamentos com o intuito de atender a um certo objetivo, especificamente objetivando o estabelecimento de uma sequência organizada de passos que serão executados por um computador, na forma de um programa.;5;1.0;0.6997459597669953;0.3333333333;1.0;10.135753;1063;816;1879
Q002;A lógica existe no nosso dia a dia, fora da programação de computadores?;"Sim. Sempre que pensamos, falamos, escrevemos ou agimos corretamente, estamos colocando 'ordem no pensamento', ou seja, aplicando lógica; ela não se restringe à matemática ou à computação e aparece em situações simples do cotidiano.";Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];"Sim, a lógica existe no nosso dia a dia fora da programação de computadores. De acordo com o contexto, sempre que pensamos, falamos ou escrevemos, a lógica nos acompanha e é necessária para colocar ""ordem no pensamento"". Ela está enraizada em nossas vidas e presente em situações cotidianas, como resolver problemas diários, tomar decisões, seguir uma receita (fazer um bolo), trocar o pneu de um carro ou instalar um aparelho de TV, seguindo uma certa racionalidade ou sequência de passos.";5;1.0;0.842089990385595;0.99999999998;0.6666666666666666;7.504812;1183;905;2088
Q003;De um jeito bem direto: o que é um algoritmo?;É uma sequência de passos bem definidos e ordenados que tem por objetivo resolver um determinado problema ou chegar a um resultado esperado, como os passos de uma receita de bolo.;Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];"Segundo o contexto, de forma bem direta, um algoritmo pode ser definido como **""um conjunto de instruções para resolver um problema""**. 

Do ponto de vista computacional, é qualquer procedimento bem definido que toma valores como entrada e produz valores como saída, sendo também entendido como o caminho ou os passos que se deve seguir para chegar à solução de um problema.";5;1.0;0.7571559616336753;0.99999999998;0.0;5.247654;1237;1093;2330
Q004;Quais são as principais formas de representar um algoritmo?;Pode ser representado de forma textual, escrevendo os passos em linguagem coloquial comum ou em pseudocódigo estruturado, ou de forma gráfica, como um fluxograma ou um diagrama de Chapin. Cada técnica tem vantagens e desvantagens quanto à clareza e à facilidade de escrita.;Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];"De acordo com o contexto, um algoritmo pode ser descrito basicamente de duas formas:

1. **Forma gráfica**: a partir da utilização de diagramas de blocos, que substituem um grande número de palavras por convenções de desenhos (como fluxogramas tradicionais e Chapin).
2. **Forma textual**: a partir de uma linguagem de projeto de programação ou mesmo de uma linguagem de programação de computadores formal, podendo também ser expresso em português coloquial.";5;1.0;0.7411949457204914;0.8666666666377778;1.0;6.817519;1205;741;1946
Q005;O que é uma variável dentro de um algoritmo?;É um dado cujo valor pode ser alterado durante a execução do algoritmo, armazenado em uma posição de memória identificada por um nome. É como uma gaveta etiquetada que, ao longo do tempo, pode guardar um objeto diferente dentro de si.;Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];"De acordo com o contexto, de forma simplista, uma variável é a representação de uma região de memória utilizada para armazenar, acessar e modificar certo valor por um determinado espaço de tempo (com esse tempo de armazenamento relacionado ao tempo de duração da execução de um programa). 

Além disso, é definida como a quantidade de memória reservada previamente e devidamente rotulada com um nome, destinada a guardar os dados (valores, letras, nomes) que servirão de ""entrada"" ou ""matéria-prima"" para a realização das tarefas/ações planejadas no algoritmo/programa.";5;1.0;0.7552694659471073;0.699999999965;0.5;5.215875;1005;535;1540
Q006;Quais regras um identificador (nome de variável) deve seguir?;Ele deve necessariamente começar com um caractere alfabético, pode ser seguido por outras letras ou números e não pode conter caracteres especiais nem espaços em branco.;Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];"De acordo com o contexto fornecido, as regras que um identificador (nome de variável) deve seguir são:

*   Devem começar com um caractere alfabético (letra) ou com o caractere sublinhado (_);
*   Os demais caracteres podem ser alfanuméricos (letras e/ou números);
*   É permitido o uso do caractere especial ‘sublinha’ ou underline (_), mas **não** é permitido o uso de outros caracteres especiais (como @, $, +, -, %, !);
*   Não pode haver espaços em branco. Caso seja um nome composto, deve-se utilizar o caractere ""_"" (underline) para a separação;
*   O compilador não faz distinção entre letras maiúsculas e minúsculas (exemplo: o identificador NUM é exatamente igual ao identificador num);
*   Não é permitido usar o mesmo nome de comandos ou instruções de uma linguagem de programação, conhecidos como palavras reservadas;
*   Não pode ser utilizado um nome que já tenha sido usado para identificar um programa ou outra variável, sendo o nome exclusivo no programa em que foi definido;
*   Deve expressar em seu nome o que realmente irá manipular, não deixando dúvida ou ambiguidade, para garantir a legibilidade e facilitar a manutenção por outros programadores.";5;1.0;0.985313821435717;0.9166666666361111;1.0;5.650562;1107;1375;2482
Q007;O que é uma constante em um algoritmo?;É um dado cujo valor nunca muda durante a execução do algoritmo, permanecendo o mesmo do início ao fim e também se mantendo igual em diferentes execuções ao longo do tempo.;Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];"De acordo com o contexto, em um algoritmo ou programa de computador, uma constante é tudo que é fixo, estável, inalterável, imutável e de valor fixo. Do ponto de vista computacional, é uma grandeza numérica fixa utilizada numa expressão aritmética ou matemática que define um valor que será inalterado, independentemente das variáveis envolvidas na operação. 

Na programação de computadores, é um valor numérico associado a um nome, sem qualquer atributo, que é definido inicialmente ao programa e não será alterado em nenhum momento até o término da sua execução. 

Adicionalmente, no contexto de tempo de execução, a letra *c* é uma quantidade determinada de tempo que o algoritmo leva para ser executado e também é chamada de constante.";5;1.0;0.8773215486914768;0.99999999995;1.0;5.94341;776;856;1632
Q008;Por que usamos aspas duplas ao escrever uma constante do tipo caractere?;As aspas duplas são usadas para delimitar e distinguir os dados constantes do tipo caractere dos demais tipos primitivos, deixando claro no algoritmo onde aquele texto fixo começa e termina.;Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];"De acordo com o contexto, para identificar um único caractere isoladamente utilizam-se apóstrofos (‘ ’). As aspas duplas (“ ”) são utilizadas para identificar uma cadeia de caracteres (string), e a razão para o seu uso é ""possibilitar a separação entre o texto do seu programa e o conteúdo de uma string"", delimitando o início e o fim da sequência de caracteres.";5;1.0;0.6634503227020693;0.9166666666361111;1.0;9.174962;1014;1565;2579
Q009;Qual é a diferença entre uma constante e uma variável?;Uma constante mantém sempre o mesmo valor do início ao fim da execução do algoritmo, enquanto uma variável pode ter seu valor alterado a qualquer momento durante essa execução.;Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];"Com base no contexto fornecido, a diferença entre uma constante e uma variável é:

- **Variável:** É a representação de uma região de memória utilizada para armazenar, acessar e **modificar** certo valor por um determinado espaço de tempo (relacionado ao tempo de duração da execução de um programa).
- **Constante:** É um valor associado a um nome que, apesar de definido inicialmente, **não será alterado em nenhum momento até o término da execução** do programa. O processo de vincular um valor a uma constante nomeada é permanente (ou, no caso de uma constante `readonly`, seu valor é determinado apenas quando o objeto é criado e não muda depois).";5;1.0;0.9266492532556886;0.36666666664833336;1.0;6.282876;1018;1232;2250
Q010;Dê um exemplo que ajude a ilustrar a diferença entre uma constante e uma variável.;"No cálculo da área de um círculo, o valor de pi é uma constante, pois é sempre o mesmo número independentemente do cálculo; já o raio é uma variável, porque muda dependendo de qual círculo está sendo considerado.";Lógica de programação (André Luiz Villar Forbellone) [Programming Logic];"Um exemplo para ilustrar a diferença entre valores constantes e variáveis seria a construção de um algoritmo para calcular o valor da área de uma circunferência. Neste caso, seria necessário usar a fórmula em que a área é igual a πr², na qual ""π"" (pi) tem um valor constante de 3,1416..., independente de qual seja a circunferência (vale para todas as ocasiões em que calculamos a área); já o valor de ""r"", que representa o raio, é uma variável, pois é dependente da circunferência.";5;1.0;0.7624705697399111;0.8666666666377778;1.0;3.768247;1131;716;1847
